payment_history,credit_utilization,length_credit_history,credit_mix,new_credit_enquiries,income_stability_index,digital_transaction_ratio,savings_ratio,platform_loyalty_months,micro_loan_repayment,age,work_experience,monthly_income,debt_to_income_ratio,number_of_platforms,avg_weekly_hours,emergency_fund_months,bank_account_age_months,credit_card_count,missed_payments_last_year,education_level,financial_literacy_score,credit_score
0.01,0.59,11,0.37,0,0.6,0.36,0.29,59,0.01,45,15,4137.9,0.07,6,28.3,12.3,69,8,2,5,0.7,386
0.62,0.06,13,0.01,0,0.22,0.32,0.12,7,0.0,25,9,8059.32,0.03,6,47.8,9.3,55,7,3,1,0.54,397
0.02,0.75,16,0.0,7,0.2,0.28,0.36,35,0.02,22,6,14284.18,0.67,2,74.5,20.7,17,3,1,1,0.6,366
0.03,0.65,4,0.01,7,0.42,0.61,0.28,35,0.0,31,2,11696.54,0.54,7,47.7,5.8,32,8,9,1,0.55,362
0.0,0.51,4,0.0,4,0.61,0.28,0.48,7,0.02,41,1,9699.37,0.29,5,72.0,19.3,41,3,10,2,0.31,340
0.01,0.26,11,0.0,1,0.76,0.21,0.28,56,0.0,34,16,14749.38,0.53,2,40.8,0.7,101,0,2,1,0.7,367
0.03,0.45,5,0.0,3,0.27,0.43,0.11,38,0.0,41,4,9935.57,0.62,2,49.5,2.3,102,8,11,3,0.59,368
0.02,0.93,4,0.37,4,0.92,0.27,0.14,19,0.01,20,4,13502.32,0.79,4,47.6,1.8,77,3,5,4,0.65,354
0.01,0.37,0,0.01,7,0.6,0.87,0.12,48,0.0,52,16,1799.35,0.98,6,77.2,21.9,104,3,11,1,0.95,325
0.02,0.92,2,0.37,3,0.89,0.37,0.19,23,0.0,41,2,8059.7,0.17,1,40.8,20.3,72,7,7,1,0.59,358
0.01,0.38,9,0.81,3,0.79,0.54,0.35,43,0.82,56,9,5293.9,0.54,7,41.3,6.5,29,3,11,1,0.19,353
0.01,0.62,13,0.01,3,0.91,0.55,0.0,34,0.0,40,18,7549.59,0.53,5,69.8,20.5,54,3,9,3,0.31,342
0.84,0.23,4,0.52,5,0.24,0.58,0.28,55,0.5,33,12,14786.98,0.72,3,65.7,6.4,41,9,2,2,0.22,397
0.0,0.19,13,0.0,6,0.23,0.88,0.36,12,0.4,41,9,11856.64,0.82,4,27.5,10.1,28,9,9,5,0.91,315
0.0,0.51,18,0.01,0,0.63,0.72,0.32,16,0.0,19,3,8134.7,0.86,3,66.6,16.0,40,3,11,1,0.56,317
0.0,0.39,0,0.01,2,0.37,0.17,0.05,2,0.01,52,16,10290.62,0.4,2,16.9,19.6,110,6,3,1,0.76,347
0.95,0.09,3,0.0,0,0.65,0.63,0.37,36,0.01,56,4,4660.32,0.68,7,64.1,2.5,22,0,3,1,0.59,379
0.01,0.14,3,0.0,0,0.61,0.86,0.18,28,0.0,36,14,2313.63,0.09,4,36.4,16.1,105,4,6,1,0.29,374
0.0,0.95,4,0.72,3,0.65,0.73,0.49,9,0.02,61,16,7886.75,0.1,7,47.3,10.6,45,9,8,1,0.88,334
0.35,0.13,18,0.61,4,0.5,0.82,0.48,25,0.03,53,5,10949.26,0.48,4,51.8,9.8,95,2,6,1,0.56,359
0.01,0.49,19,0.0,4,0.85,0.77,0.34,28,0.0,41,16,2120.33,0.53,5,77.6,0.9,37,4,5,5,0.6,393
0.94,0.28,18,0.01,1,0.59,0.25,0.1,15,0.0,41,2,8294.68,0.9,1,74.8,23.3,21,7,5,1,0.57,395
0.0,0.22,7,0.0,1,0.41,0.43,0.29,36,0.96,34,8,5506.73,0.82,4,32.3,12.1,18,2,5,2,0.6,368
